run,model,w0_fit,wa_fit,w0_plus_wa,w_a03,w_a1,w_min,class,omega_today,dist_to_unite
exp lambda=0.5,scalar-flrw,-0.9627006622,-0.05319837275,-1.015899035,-0.9976323508,-0.9616197578,-1,thawing,0.699916,0.5561789678
exp lambda=1,scalar-flrw,-0.8439975848,-0.2171835307,-1.061181116,-0.9887171761,-0.843363804,-1,thawing,0.699916,0.383193856
exp lambda=1.5,scalar-flrw,-0.6176298406,-0.501476106,-1.119105947,-0.9631710082,-0.6321687671,-1,thawing,0.699916,0.2625566457
exp lambda=2,scalar-flrw,-0.2003741922,-0.8384062478,-1.03878044,-0.8354576496,-0.2719641547,-1,thawing,0.699916,0.7023275567
exp lambda=3 (scaling; --no-normalize v0=1e6),scalar-flrw,-0.002034787611,-0.04271664869,-0.0447514363,-0.02985158689,-0.003886676354,-1,mixed,0.3375115141,1.023907208
invpower alpha=1 (N0=-7),scalar-flrw,-0.7365492699,0.06245511697,-0.674094153,-0.729819585,-0.753239597,-1,mixed,0.699916,0.6740435937
invpower alpha=1 (N0=-25),scalar-flrw,-0.7365492626,0.06245508659,-0.674094176,-0.7298196064,-0.7532395953,-1,mixed,0.699916,0.6740435652
pngb f=1,scalar-flrw,-0.9887831753,-0.0165218466,-1.005305022,-0.9994000378,-0.9877721071,-1,thawing,0.699916,0.5973067013
pngb f=0.5 phi_i=0.3,scalar-flrw,-0.8840637859,-0.1816543884,-1.065718174,-0.9958817149,-0.8542281049,-1,thawing,0.699916,0.4189808933
hilltop mu=3,scalar-flrw,-0.9992878698,-0.001034888501,-1.000322758,-0.999959066,-0.9992446384,-1,thawing,0.699916,0.6147216766
const (control),scalar-flrw,-1,7.251026663e-16,-1,-1,-1,-1,constant,0.699916,0.6158904123
A' cpl exp lambda=1,scalar-cpl,-0.8370965722,-0.2256777524,-1.062774325,-0.9882972784,-0.8390537234,-1,thawing,0.699916,0.3750846823
"A' cpl exp lambda=2 (hand v0=10, Omega 0.50)",scalar-cpl,-0.1514751983,-0.8806253796,-1.032100578,-0.8475959016,-0.2979701122,-1,mixed,0.4983936818,0.7630046185
"Unite CPL (w0, wa)",reference,-0.861,-0.6,-1.461,-1.281,-0.861,nan,CPL line,0.699916,0
Unite constant w,reference,-0.764,0,-0.764,-0.764,-0.764,-0.764,constant,0.699916,0.6077902599
