x4,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi
NaN,5.000000000000000e-2,5.283333333333334e-2,5.566666666666667e-2,5.850000000000000e-2,6.133333333333334e-2,6.416666666666666e-2,6.700000000000000e-2,6.983333333333333e-2,7.266666666666667e-2,7.550000000000000e-2,7.833333333333334e-2,8.116666666666666e-2,8.399999999999999e-2,8.683333333333333e-2,8.966666666666667e-2,9.250000000000000e-2,9.533333333333333e-2,9.816666666666667e-2,1.010000000000000e-1,1.038333333333333e-1,1.066666666666667e-1,1.095000000000000e-1,1.123333333333333e-1,1.151666666666667e-1,1.180000000000000e-1,1.208333333333333e-1,1.236666666666667e-1,1.265000000000000e-1,1.293333333333333e-1,1.321666666666667e-1,1.350000000000000e-1,1.378333333333333e-1,1.406666666666667e-1,1.435000000000000e-1,1.463333333333333e-1,1.491666666666667e-1,1.520000000000000e-1,1.548333333333333e-1,1.576666666666667e-1,1.605000000000000e-1,1.633333333333333e-1,1.661666666666667e-1,1.690000000000000e-1,1.718333333333333e-1,1.746666666666667e-1,1.775000000000000e-1,1.803333333333333e-1,1.831666666666666e-1,1.860000000000000e-1,1.888333333333333e-1,1.916666666666667e-1,1.945000000000000e-1,1.973333333333333e-1,2.001666666666667e-1,2.030000000000000e-1,2.058333333333333e-1,2.086666666666667e-1,2.115000000000000e-1,2.143333333333333e-1,2.171666666666667e-1,2.200000000000000e-1
0.000000000000000e0,1.500000000000000e0,1.499314767377287e0,1.497260947684137e0,1.493844170297569e0,1.489073800366903e0,1.482962913144534e0,1.475528258147577e0,1.466790213248601e0,1.456772728821300e0,1.445503262094184e0,1.433012701892219e0,1.419335283972712e0,1.404508497187474e0,1.388572980728485e0,1.371572412738697e0,1.353553390593274e0,1.334565303179429e0,1.314660195524919e0,1.293892626146236e0,1.272319517507514e0,1.250000000000000e0,1.226995249869773e0,1.203368321537900e0,1.179183974772650e0,1.154508497187474e0,1.129409522551260e0,1.103955845408880e0,1.078217232520115e0,1.052264231633827e0,1.026167978121472e0,9.999999999999998e-1,9.738320218785281e-1,9.477357683661733e-1,9.217827674798847e-1,8.960441545911205e-1,8.705904774487396e-1,8.454915028125263e-1,8.208160252273499e-1,7.966316784620999e-1,7.730047501302268e-1,7.499999999999999e-1,7.276804824924865e-1,7.061073738537635e-1,6.853398044750811e-1,6.654346968205709e-1,6.464466094067260e-1,6.284275872613028e-1,6.114270192715145e-1,5.954915028125262e-1,5.806647160272882e-1,5.669872981077806e-1,5.544967379058160e-1,5.432272711786995e-1,5.332097867513992e-1,5.244717418524231e-1,5.170370868554659e-1,5.109261996330972e-1,5.061558297024311e-1,5.027390523158632e-1,5.006852326227130e-1,5.000000000000000e-1
1.000000000000000e-1,8.454326610419967e-1,8.454356350378460e-1,8.455595654696361e-1,8.456460849670460e-1,8.459057872051342e-1,8.463793981934055e-1,8.466719870930451e-1,8.472070169039495e-1,8.479264965602735e-1,8.488008716000875e-1,8.497766698061324e-1,8.509819065008647e-1,8.523954215930984e-1,8.540564903646471e-1,8.560099574842714e-1,8.581615726911112e-1,8.607133848521832e-1,8.636137320265594e-1,8.668231126390787e-1,8.705046173269577e-1,8.746441474782115e-1,8.792029104750646e-1,8.843656376652987e-1,8.900550776422093e-1,8.963557591691752e-1,9.033525026681303e-1,9.110147497003914e-1,9.194716370815985e-1,9.287255005371751e-1,9.388314790536906e-1,9.498936820342250e-1,9.618284737814615e-1,9.749269058048422e-1,9.887850277143581e-1,1.004090081581875e0,1.019963952997281e0,1.036991293388604e0,1.055439401456514e0,1.072769926611651e0,1.091122183553252e0,1.111185960568759e0,1.124908468920431e0,1.123764693617866e0,1.106604417972098e0,1.077659006665336e0,1.041814965968263e0,1.002528837346661e0,9.618644342547139e-1,9.210309988245911e-1,8.807789284826590e-1,8.416211441916727e-1,8.039653859071003e-1,7.682008757744062e-1,7.347277746825849e-1,7.039110044792888e-1,6.760243040159433e-1,6.513241580865863e-1,6.302144991191091e-1,6.132319190313252e-1,6.009627038502330e-1,5.942384380166310e-1
2.000000000000000e-1,6.055380079577597e-1,6.055482101143144e-1,6.055823294269935e-1,6.055719867846781e-1,6.057127898680096e-1,6.058004833505379e-1,6.058735789519820e-1,6.061439351944519e-1,6.063482141397738e-1,6.065635715163997e-1,6.069054802645927e-1,6.072548475338942e-1,6.076777092999665e-1,6.082898781525472e-1,6.088063592556917e-1,6.095869898963827e-1,6.103031444607414e-1,6.111715387600226e-1,6.122693599609876e-1,6.134276289998812e-1,6.147173268000611e-1,6.160891254938526e-1,6.177556156299669e-1,6.195839868624511e-1,6.216174088230312e-1,6.237435231323065e-1,6.262246077714690e-1,6.290642081528660e-1,6.320600661934658e-1,6.353201043413891e-1,6.391777070620527e-1,6.434138752145941e-1,6.478749628095681e-1,6.531441557217615e-1,6.590768189950958e-1,6.652729065696279e-1,6.726337540512942e-1,6.807975643941810e-1,6.894079250529830e-1,6.998228699003248e-1,7.107221714047576e-1,7.231718661212373e-1,7.375026970601898e-1,7.525408534084098e-1,7.710454390358452e-1,7.898443723433511e-1,8.134325974433818e-1,8.372511210403804e-1,8.675575982389486e-1,8.977771293548972e-1,9.370694811076734e-1,9.764027830893320e-1,1.024900872004115e0,1.081713006614504e0,1.135032268223303e0,1.209464093042018e0,1.297319058971920e0,1.354931732959739e0,1.367515414454473e0,1.354674116326876e0,1.340740232036340e0
3.000000000000000e-1,5.547501360864588e-1,5.548481463958187e-1,5.548158779088667e-1,5.549442331089915e-1,5.550753214851375e-1,5.551930871975451e-1,5.553918725626035e-1,5.557953883498903e-1,5.560591339604249e-1,5.564630639077880e-1,5.569891599356878e-1,5.575603514647397e-1,5.582710156484045e-1,5.589594052164113e-1,5.600267952472036e-1,5.610935606598252e-1,5.624873627188050e-1,5.639641885360780e-1,5.655145427755206e-1,5.673030121284830e-1,5.691836526944825e-1,5.716406591007129e-1,5.745104832612814e-1,5.776449429502444e-1,5.807914584254229e-1,5.841664361172489e-1,5.882620383803958e-1,5.931719052504948e-1,5.984167902258855e-1,6.038688595203119e-1,6.098145709063644e-1,6.165346254271798e-1,6.245071549354547e-1,6.331041856462979e-1,6.419905036244520e-1,6.518817473567891e-1,6.636304891676384e-1,6.767261793660351e-1,6.903416834788567e-1,7.055396210113818e-1,7.236896468930467e-1,7.436385870948135e-1,7.646487054786315e-1,7.892832611418075e-1,8.179429481842853e-1,8.480846140518083e-1,8.823617232828832e-1,9.228904887598699e-1,9.652916245947671e-1,1.012757632773162e0,1.066672144930381e0,1.118546401052856e0,1.172552004119468e0,1.217800321443110e0,1.242584765121649e0,1.246259289018643e0,1.210157618945631e0,1.168116188679958e0,1.125839961916620e0,1.129025848502077e0,1.112650118906904e0
4.000000000000000e-1,8.110577552676731e-1,8.109988372466477e-1,8.111251390904326e-1,8.112729031805043e-1,8.115350372801280e-1,8.120250243736117e-1,8.126855393509135e-1,8.137465484781049e-1,8.150033817555796e-1,8.169505156851636e-1,8.192490441819967e-1,8.219152907779624e-1,8.250700372865042e-1,8.284841975930524e-1,8.321764892021052e-1,8.362552486122750e-1,8.406980765051648e-1,8.459049713909201e-1,8.521803200578835e-1,8.594684445645242e-1,8.679170475191452e-1,8.770794813020285e-1,8.867216680188648e-1,8.967528835261659e-1,9.072562281988388e-1,9.187507007060338e-1,9.315301962931360e-1,9.453616186812599e-1,9.594035025457742e-1,9.731630961562548e-1,9.862876269042851e-1,9.982517389277955e-1,1.008637724824248e0,1.016803849057164e0,1.022494611608589e0,1.024572897913512e0,1.019548528138599e0,1.008094168466013e0,9.904823667289364e-1,9.677859369784414e-1,9.407636458206059e-1,9.093997115321752e-1,8.759974271290781e-1,8.454655585714345e-1,8.219078303243339e-1,8.043835678602271e-1,7.883820013949803e-1,7.715326378804209e-1,7.540032098442329e-1,7.331867153660361e-1,7.064666963686412e-1,6.814801827712401e-1,6.687928744736062e-1,6.605454394985421e-1,6.414756334081476e-1,6.205843584702621e-1,6.115526818252492e-1,6.024407476710893e-1,5.902551052997140e-1,5.848762693573987e-1,5.810666775439057e-1
5.000000000000000e-1,1.217648483611294e0,1.217737630918693e0,1.217897658799030e0,1.218169251719968e0,1.218730804441933e0,1.219291085442278e0,1.220158511327344e0,1.221242391086546e0,1.222532349618185e0,1.224107040769475e0,1.225651662068446e0,1.227433631290191e0,1.228972212555566e0,1.230369690012106e0,1.231148073295552e0,1.231068539520014e0,1.229599402600948e0,1.226395042954299e0,1.221121007670089e0,1.213478751783373e0,1.203368206380203e0,1.190893186342548e0,1.175916357135422e0,1.158709194471883e0,1.139067977775289e0,1.117028443370115e0,1.092399876687248e0,1.065086062020965e0,1.035563438781729e0,1.005343279175950e0,9.756715889725219e-1,9.471181119603408e-1,9.196297318068365e-1,8.919465745094912e-1,8.621277529758956e-1,8.298854268533544e-1,7.966117157564322e-1,7.626174949794157e-1,7.289799170468244e-1,6.979284400501931e-1,6.707960811953729e-1,6.477862090966640e-1,6.224745135102153e-1,5.976225366783802e-1,5.712735857520789e-1,5.462466924273657e-1,5.247440459600944e-1,5.064164267748099e-1,4.893974600090690e-1,4.721411125361047e-1,4.553815725361471e-1,4.409363701638584e-1,4.291283386064609e-1,4.185823965143147e-1,4.086819221635672e-1,4.003632498380923e-1,3.939525136453657e-1,3.886763154200485e-1,3.844673560887601e-1,3.814572315454902e-1,3.795819682135005e-1
6.000000000000000e-1,7.068991581356847e-1,7.068680169778874e-1,7.066691050280023e-1,7.064642051654182e-1,7.059534024438858e-1,7.054725468170805e-1,7.048242177392104e-1,7.041370159700741e-1,7.034004960004357e-1,7.028158609339501e-1,7.024176125915638e-1,7.026157416162025e-1,7.031073347758136e-1,7.043086832662475e-1,7.061642169250946e-1,7.085246310319511e-1,7.114272144243435e-1,7.146672702400356e-1,7.180584769569632e-1,7.214464892951067e-1,7.243273458899513e-1,7.265230532290019e-1,7.278314113320926e-1,7.286024307718788e-1,7.291329525583649e-1,7.300934700354897e-1,7.321141447026093e-1,7.358142941049102e-1,7.412147013114875e-1,7.482541764245837e-1,7.567049327589561e-1,7.658855524655630e-1,7.747995920084159e-1,7.829335316105783e-1,7.913910949018885e-1,7.994194211831387e-1,8.064743191265741e-1,8.123509083454816e-1,8.178719796350623e-1,8.239106245064323e-1,8.337090135164669e-1,8.506151100168666e-1,8.720250196974715e-1,8.946773572421488e-1,9.173637304932045e-1,9.367366452200712e-1,9.503818703074640e-1,9.463074131721757e-1,9.308353706821563e-1,8.985704342463023e-1,8.529533882775829e-1,7.978276401236388e-1,7.370331383864667e-1,6.747566725458131e-1,6.142996655843810e-1,5.582281871396175e-1,5.083625755285807e-1,4.660015574664023e-1,4.321580769780782e-1,4.078238342461062e-1,3.946109169144515e-1
7.000000000000000e-1,4.349317181388820e-1,4.349063860278123e-1,4.349681715201274e-1,4.349036541331662e-1,4.349390416523887e-1,4.349884469663158e-1,4.350665960453542e-1,4.350059520519459e-1,4.349989035747067e-1,4.350270901997237e-1,4.350217741140513e-1,4.349569700971225e-1,4.351464833015898e-1,4.353909903204277e-1,4.357654139767274e-1,4.362854250914232e-1,4.366907755217450e-1,4.370739916501148e-1,4.375868811872550e-1,4.381134179066783e-1,4.389116745036971e-1,4.397443272542388e-1,4.407203950033418e-1,4.415263280885860e-1,4.422391065591842e-1,4.428171403091268e-1,4.438367795146965e-1,4.455431249108774e-1,4.476718763862834e-1,4.498098663151031e-1,4.520937029810796e-1,4.554280446480181e-1,4.594885608728012e-1,4.632203632039120e-1,4.663632621658522e-1,4.694124103060761e-1,4.732767994611257e-1,4.779779289559178e-1,4.843750364126808e-1,4.923343656777874e-1,5.030563129612990e-1,5.141135208333424e-1,5.229422968708350e-1,5.309685060804725e-1,5.414752175780271e-1,5.563887210804068e-1,5.789208838608065e-1,6.055712487736883e-1,6.264349296638302e-1,6.471601426884850e-1,6.746676505872413e-1,7.143271456453827e-1,7.602216563050654e-1,8.193129286961852e-1,8.767328006773942e-1,9.357107664497641e-1,1.010028113234981e0,1.116477428849058e0,1.252879691018607e0,1.387846435590555e0,1.475182579185588e0
8.000000000000000e-1,2.872244050028120e-1,2.872137455915693e-1,2.871861912666733e-1,2.871742411447610e-1,2.872513354911541e-1,2.873232348939047e-1,2.875292720918347e-1,2.878587150675286e-1,2.885353193609305e-1,2.892559252083690e-1,2.903452149321177e-1,2.915036532209841e-1,2.929195413509204e-1,2.943280160664831e-1,2.958754192940527e-1,2.974573884251493e-1,2.992992076144395e-1,3.013852669657360e-1,3.038867268778639e-1,3.072191915726492e-1,3.110860694035147e-1,3.154440853437764e-1,3.199537119885355e-1,3.245444000782906e-1,3.295974683676840e-1,3.355626006831496e-1,3.426347106912158e-1,3.507456130303719e-1,3.597031545509202e-1,3.694381462904218e-1,3.798342389248681e-1,3.913382272515339e-1,4.050432712276457e-1,4.203577767831500e-1,4.370806434779044e-1,4.555777347001026e-1,4.762213525321511e-1,4.985734720393910e-1,5.242935855483001e-1,5.537294839379938e-1,5.848335743516172e-1,6.187197278917085e-1,6.569759528273814e-1,6.985794652602451e-1,7.417637515930769e-1,7.862674293551224e-1,8.333271820914373e-1,8.788778804411607e-1,9.173653213634945e-1,9.480285169874469e-1,9.657677436629909e-1,9.653526560376117e-1,9.531585598953449e-1,9.229498454273172e-1,8.818011501777453e-1,8.542377059193063e-1,8.497781292900384e-1,8.430251872560710e-1,8.393073020814209e-1,8.311643809703975e-1,8.120387577349262e-1
