family,key,value,m_today_eV,m0_over_m_today,omega_qp0,U_today,a_nr,m_ratio_min_matter,w0_DE,wa_DE,fit_from_a,poles,crossings,phantom_late,crosses_late,w0_f,wa_f,w_f_min,cs2_min,vac_ratio_late,gap_residual_max,xcheck_worst,conservation,criterion
"expdamp, xt",xt,0.3,100,1.9283697,0.265,0.68566471,0.61914821,1.9930493e-12,-0.43904856,-8.0630715,0.63579561,6.75e-07 0.606,9.01e-07 1,True,True,-0.74452335,-0.45527176,-0.99999812,-11.373946,2.5136667e+16,1.6483303e-16,5.2835925e-10,6.906697e-10,nan
"expdamp, xt",xt,0.4,100,2.4863745,0.265,0.68566471,0.67935713,1.494787e-12,-0.20488426,-11.429294,0.65070021,6.75e-07 0.62,9.01e-07 1,True,True,-0.79782274,-0.37122687,-0.99999859,-11.8705,2.7458599e+16,1.2030725e-16,1.1538941e-09,4.5410507e-10,nan
"expdamp, xt",xt,0.5,100,3.2974425,0.265,0.68566471,0.73213019,1.1958296e-12,-0.68277969,-7.5551908,0.66170969,6.75e-07 0.63,9.01e-07 1,True,True,-0.83830601,-0.30275003,-0.99999889,-14.432954,2.9266119e+16,1.5865914e-16,9.9552577e-10,1.2084566e-09,nan
"expdamp, xt",xt,0.6,100,4.555297,0.265,0.68566471,0.77757315,9.9652466e-13,-0.68517665,-8.3470057,0.6693749,6.75e-07 0.637,9.01e-07 1,True,True,-0.86964844,-0.24734624,-0.99999911,-10.793883,3.0741126e+16,2.3683572e-16,1.4844108e-09,1.8011638e-09,nan
"expdamp, xt",xt,0.7,100,6.712509,0.265,0.68566471,0.81980737,8.5416399e-13,-0.69593782,-8.9698684,0.6751111,6.75e-07 0.643,9.01e-07 1,True,True,-0.89596244,-0.19954842,-0.99999927,-7.3673064,3.1978531e+16,1.0085685e-16,8.2448426e-10,3.0170157e-09,nan
"expdamp, xt",xt,0.8,100,11.127705,0.265,0.68566471,0.85905954,7.4739349e-13,-0.71605103,-9.4619014,0.67964154,6.75e-07 0.647,9.01e-07 1,True,True,-0.92085898,-0.15314343,-0.99999937,-63.335564,3.2598869e+16,1.1088386e-16,3.6707252e-09,2.7338899e-09,nan
"expdamp, xt",xt,0.9,100,24.596031,0.265,0.68566471,0.89007319,6.6434977e-13,-0.69022194,-10.092443,0.6833749,6.75e-07 0.651,9.01e-07 1,True,True,-0.92590478,-0.14373827,-0.99999945,-9.9,3.3576758e+16,2.4013642e-16,2.3410279e-09,1.889645e-09,nan
"power nu=0.3, Omega_qp0",omega_dm,0.265,100,-0.10889172,0.265,0.68566471,0.30687825,1.6462216e-11,-0.48771219,-6.4264468,0.59296093,6.75e-07 0.565,9.01e-07 1,True,True,-0.65958394,-0.37746622,-0.99997961,-388.42838,1.06995e+16,1.2370785e-16,1.9161868e-09,4.0493129e-09,-0.042085155
"power nu=0.3, Omega_qp0",omega_dm,0.35,100,0.26449219,0.35,0.60066471,3.7204182e-06,0.26449256,-0.48771219,-6.4264468,0.59296093,7.7e-07 0.565,1.02e-06 1,True,True,-0.68368398,0.46329021,-0.63183655,-0.51485547,7.3017357e+14,2.0598009e-16,1.0055132e-09,9.3653663e-12,0.15411637
"power nu=0.3, Omega_qp0",omega_dm,0.45,100,0.52317646,0.45,0.50066471,2.04521e-06,0.5231767,-0.48771219,-6.4264468,0.59296093,9.57e-07 0.565,1.26e-06 1,True,True,-0.56504972,0.57338652,-0.52664699,-0.33377648,5.6378528e+13,1.5861537e-16,8.9088581e-10,9.2649582e-12,0.47023368
"power nu=0.3, Omega_qp0",omega_dm,0.55,100,0.68779373,0.55,0.40066471,1.6633282e-06,0.68779389,-0.48771219,-6.4264468,0.59296093,1.21e-06 0.565,1.58e-06 1,True,True,-0.43742126,0.51213387,-0.42145744,-0.21854439,5.1740136e+12,1.6515913e-16,1.4294796e-09,9.3380606e-12,0.94414741
"power nu=0.3, Omega_qp0",omega_dm,0.65,100,0.80175953,0.65,0.30066471,1.5086052e-06,0.80175963,-0.48771219,-6.4264468,0.59296093,1.56e-06 0.565,2.03e-06 1,True,True,-0.3164468,0.40049321,-0.31626788,-0.13876833,4.3432401e+11,0,1.0405454e-11,9.1772477e-12,1.7333051
"power nu=0.3, Omega_qp0",omega_dm,0.8,100,0.91928676,0.8,0.15066471,1.4100275e-06,0.9192868,-0.48771219,-6.4264468,0.59296093,2.55e-06 0.565,3.31e-06 1,True,True,-0.15039951,0.20411046,-0.15848354,-0.056499267,3.7947469e+09,1.6959661e-16,1.4503385e-09,9.2031777e-12,4.881232
"power nu=0.5, Omega_qp0",omega_dm,0.265,100,-1.587414,0.265,0.68566471,0.66658595,1.5885129e-12,-0.22395262,-11.245432,0.65014273,6.75e-07 0.619,9.01e-07 1,True,True,-0.79750629,-0.37068062,-0.9999985,-7.1825672,2.740111e+16,7.000613e-17,6.9788064e-10,1.7161151e-09,-0.61351373
"power nu=0.5, Omega_qp0",omega_dm,0.35,100,-0.71618489,0.35,0.60066471,0.51487263,3.7669616e-12,-0.69659817,-6.5308024,0.66302179,7.41e-07 0.631,9.87e-07 1,True,True,-0.61371365,-0.64885868,-0.9999952,-11.365449,1.958384e+16,1.2759125e-16,5.5434013e-10,4.528414e-10,-0.4173122
"power nu=0.5, Omega_qp0",omega_dm,0.45,100,-0.11258825,0.45,0.50066471,0.20086616,6.9659066e-11,-0.69659817,-6.5308024,0.66302179,8.04e-07 0.631,1.07e-06 1,True,True,-0.49312845,-0.22847572,-0.99991554,-45.074447,3.8540959e+15,1.1079533e-16,8.4309315e-10,9.4427417e-12,-0.10119489
"power nu=0.5, Omega_qp0",omega_dm,0.5,100,0.098670575,0.5,0.45066471,1.1231837e-05,0.098699078,-0.69659817,-6.5308024,0.66302179,8.39e-07 0.631,1.12e-06 1,True,True,-0.48938484,0.1308681,-0.47405221,-0.45066471,8.8936875e+14,2.330549e-16,6.2553884e-10,9.428868e-12,0.10947227
"power nu=0.5, Omega_qp0",omega_dm,0.55,100,0.2715187,0.55,0.40066471,4.213436e-06,0.27154174,-0.69659817,-6.5308024,0.66302179,8.99e-07 0.631,1.19e-06 1,True,True,-0.4457872,0.2608881,-0.42145744,-0.36424065,2.3490508e+14,1.6497821e-16,6.7558048e-10,9.4510134e-12,0.37271884
"power nu=0.5, Omega_qp0",omega_dm,0.65,100,0.5374389,0.65,0.30066471,2.2505601e-06,0.53745353,-0.69659817,-6.5308024,0.66302179,1.09e-06 0.631,1.44e-06 1,True,True,-0.3323731,0.2979329,-0.31626788,-0.23128055,1.6764171e+13,0,1.8568174e-09,9.2776331e-12,1.1618766
"power nu=0.5, Omega_qp0",omega_dm,0.8,100,0.81166911,0.8,0.15066471,1.5969804e-06,0.81167506,-0.69659817,-6.5308024,0.66302179,1.71e-06 0.631,2.23e-06 1,True,True,-0.15967701,0.17802055,-0.15848354,-0.094165445,1.290368e+11,1.8891817e-16,7.8786533e-11,9.2758949e-12,4.3098034
