potential,A,n,w_classical,w_quantum,sigma_over_n,x_kF_over_m,n_roots,rho_over_A
mass,10000,17.9169958,0,5.201325769e-08,0.999999922,0.0005099669919,1,17.9169972
mass,10000,21.27570106,0,5.832568365e-08,0.9999999125,0.0005400263643,1,21.27570292
mass,10000,25.26402644,0,6.540419725e-08,0.9999999019,0.0005718575491,1,25.26402892
mass,10000,30,0,7.334177222e-08,0.99999989,0.0006055649837,1,30.0000033
mass,100,0.001,0,7.596314161e-07,0.9999988606,0.001948888545,1,0.001000001139
mass,100,0.001187459175,0,8.518214612e-07,0.9999987223,0.002063763365,1,0.001187460693
mass,100,0.001410059293,0,9.551997979e-07,0.9999985672,0.002185409339,1,0.001410061313
mass,100,0.001674387845,0,1.071124241e-06,0.9999983933,0.002314225584,1,0.001674390536
mass,100,0.00198826721,0,1.201117389e-06,0.9999981983,0.002450634744,1,0.001988270792
mass,100,0.002360986142,0,1.346886618e-06,0.9999979797,0.002595084372,1,0.002360990912
mass,100,0.002803574657,0,1.510346511e-06,0.9999977345,0.002748048404,1,0.002803581008
mass,100,0.00332913045,0,1.693643996e-06,0.9999974595,0.002910028712,1,0.003329138907
mass,100,0.003953206499,0,1.899186547e-06,0.9999971512,0.003081556748,1,0.003953217761
mass,100,0.004694271329,0,2.1296738e-06,0.9999968055,0.003263195292,1,0.004694286325
mass,100,0.005574255561,0,2.388133006e-06,0.9999964178,0.003455540294,1,0.005574275529
mass,100,0.006619200912,0,2.677958787e-06,0.9999959831,0.003659222835,1,0.006619227501
mass,100,0.007860030856,0,3.002957716e-06,0.9999954956,0.00387491119,1,0.007860066261
mass,100,0.009333465758,0,3.367398303e-06,0.9999949489,0.004103313028,1,0.009333512903
mass,100,0.01108310955,0,3.77606705e-06,0.9999943359,0.004345177729,1,0.01108317233
mass,100,0.01316074013,0,4.234331302e-06,0.9999936485,0.004601298846,1,0.01316082372
mass,100,0.01562784162,0,4.748209728e-06,0.9999928777,0.004872516704,1,0.01562795293
mass,100,0.01855742392,0,5.324451346e-06,0.9999920133,0.005159721163,1,0.01855757214
mass,100,0.02203618331,0,5.97062414e-06,0.999991044,0.005463854533,1,0.02203638067
mass,100,0.02616706806,0,6.69521442e-06,0.9999899571,0.005785914668,1,0.02616733086
mass,100,0.03107232506,0,7.507738242e-06,0.9999887383,0.006126958238,1,0.03107267499
mass,100,0.03689711749,0,8.418866329e-06,0.9999873716,0.006488104198,1,0.03689758345
mass,100,0.04381382071,0,9.440564152e-06,0.9999858391,0.00687053746,1,0.04381444116
mass,100,0.05202712341,0,1.058624899e-05,0.9999841205,0.007275512776,1,0.05202794959
mass,100,0.06178008506,0,1.187096605e-05,0.9999821934,0.007704358861,1,0.06178118517
mass,100,0.07336132885,0,1.33115859e-05,0.9999800325,0.008158482746,1,0.07336279373
mass,100,0.08711358306,0,1.492702587e-05,0.9999776093,0.008639374401,1,0.08711553365
mass,100,0.1034438235,0,1.673849828e-05,0.999974892,0.009148611619,1,0.1034464209
mass,100,0.1228353174,0,1.876978876e-05,0.999971845,0.009687865194,1,0.1228387759
mass,100,0.1458619246,0,2.104756824e-05,0.9999684282,0.0102589044,1,0.1458665299
mass,100,0.1732050808,0,2.360174278e-05,0.9999645969,0.01086360281,1,0.173211213
mass,100,0.2056739624,0,2.646584578e-05,0.9999603006,0.01150394441,1,0.2056821279
mass,100,0.2442294337,0,2.96774776e-05,0.999955483,0.01218203016,1,0.2442403067
mass,100,0.290012482,0,3.327879851e-05,0.9999500808,0.01290008483,1,0.29002696
mass,100,0.3443779827,0,3.731708114e-05,0.9999440231,0.01366046435,1,0.3443972612
mass,100,0.4089347953,0,4.184532991e-05,0.9999372304,0.01446566349,1,0.4089604659
mass,100,0.4855933748,0,4.692297521e-05,0.9999296135,0.0153183241,1,0.4856275569
mass,100,0.5766223084,0,5.261665161e-05,0.9999210725,0.01622124373,1,0.5766678241
mass,100,0.6847154509,0,5.900106991e-05,0.9999114952,0.01717738484,1,0.6847760578
mass,100,0.8130716446,0,6.615999465e-05,0.999900756,0.0181898845,1,0.8131523466
mass,100,0.9654893846,0,7.418733939e-05,0.999888714,0.0192620647,1,0.9655968443
mass,100,1.146479228,0,8.318839412e-05,0.9998752111,0.02039744323,1,1.146622318
mass,100,1.361397279,0,9.328120049e-05,0.9998600703,0.02159974525,1,1.361587811
mass,100,1.61660369,0,0.0001045980926,0.9998430929,0.02287291546,1,1.616857394
mass,100,1.919650885,0,0.0001172874228,0.9998240563,0.02422113112,1,1.919988706
mass,100,2.279507057,0,0.0001315154954,0.999802711,0.02564881568,1,2.279956884
mass,100,2.70682157,0,0.000147468731,0.9997787771,0.02716065334,1,2.707420539
mass,100,3.214240109,0,0.0001653560915,0.999751941,0.02876160439,1,3.215037666
mass,100,3.81677891,0,0.0001854117944,0.999721851,0.03045692152,1,3.817840895
mass,100,4.532269136,0,0.0002078983502,0.9996881131,0.03225216701,1,4.533683217
mass,100,5.381884571,0,0.0002331099632,0.9996502855,0.03415323103,1,5.383767478
mass,100,6.390768215,0,0.0002613763347,0.9996078732,0.03616635091,1,6.393275376
mass,100,7.588776354,0,0.0002930669185,0.9995603214,0.03829813164,1,7.592114724
mass,100,9.011362111,0,0.0003285956772,0.9995070081,0.04055556755,1,9.015807249
mass,100,10.70062462,0,0.0003684264009,0.9994472367,0.04294606522,1,10.70654343
mass,100,12.70655489,0,0.0004130786475,0.9993802265,0.04547746782,1,12.71443589
mass,100,15.08851519,0,0.0004631343788,0.9993051029,0.0481580808,1,15.09900883
mass,100,17.9169958,0,0.000519245367,0.9992208862,0.05099669919,1,17.93096814
mass,100,21.27570106,0,0.0005821414578,0.9991264788,0.05400263643,1,21.29430518
mass,100,25.26402644,0,0.0006526397826,0.9990206519,0.05718575491,1,25.28879759
mass,100,30,0,0.0007316550226,0.9989020292,0.06055649837,1,30.03298222
mass,1,0.001,0,0.007411627984,0.9888317911,0.1948888545,1,0.001011318337
mass,1,0.001187459175,0,0.008286704952,0.9875063693,0.2063763365,1,0.00120251824
mass,1,0.001410059293,0,0.009261900038,0.9860275786,0.2185409339,1,0.0014300935
mass,1,0.001674387845,0,0.01034787748,0.9843786426,0.2314225584,1,0.001701038034
mass,1,0.00198826721,0,0.01155624407,0.9825411866,0.2450634744,1,0.002023714023
mass,1,0.002360986142,0,0.01289958479,0.9804951425,0.2595084372,1,0.002408126957
mass,1,0.002803574657,0,0.01439148675,0.9782186633,0.2748048404,1,0.002866258204
mass,1,0.00332913045,0,0.01604654747,0.9756880514,0.2910028712,1,0.00341246778
mass,1,0.003953206499,0,0.01788036281,0.972877706,0.3081556748,1,0.004063982938
mass,1,0.004694271329,0,0.01990948913,0.9697600964,0.3263195292,1,0.004841491908
mass,1,0.005574255561,0,0.02215137369,0.9663057695,0.3455540294,1,0.005769866732
mass,1,0.006619200912,0,0.02462424679,0.9624833984,0.3659222835,1,0.006879044885
mass,1,0.007860030856,0,0.02734696885,0.9582598827,0.387491119,1,0.008205106633
mass,1,0.009333465758,0,0.03033882557,0.9536005101,0.4103313028,1,0.009791594105
mass,1,0.01108310955,0,0.03361926487,0.9484691881,0.4345177729,1,0.01169112945
mass,1,0.01316074013,0,0.0372075703,0.9428287562,0.4601298846,1,0.01396740371
mass,1,0.01562784162,0,0.04112246721,0.9366413867,0.4872516704,1,0.01669762598
mass,1,0.01855742392,0,0.04538166081,0.9298690796,0.5159721163,1,0.01997554492
mass,1,0.02203618331,0,0.05000130852,0.9224742556,0.5463854533,1,0.02391518315
mass,1,0.02616706806,0,0.0549954336,0.9144204452,0.5785914668,1,0.02865546044
mass,1,0.03107232506,0,0.06037529219,0.9056730685,0.6126958238,1,0.03436592655
mass,1,0.03689711749,0,0.06614871203,0.8962002933,0.6488104198,1,0.04125388075
mass,1,0.04381382071,0,0.07231942695,0.885973951,0.687053746,1,0.04957322566
mass,1,0.05202712341,0,0.07888643755,0.8749704866,0.7275512776,1,0.05963549204
mass,1,0.06178008506,0,0.0858434329,0.8631719073,0.7704358861,1,0.07182358251
mass,1,0.07336132885,0,0.0931783116,0.8505666931,0.8158482746,1,0.08660892234
mass,1,0.08711358306,0,0.1008728412,0.8371506268,0.8639374401,1,0.1045728818
mass,1,0.1034438235,0,0.1089024925,0.8229274997,0.9148611619,1,0.1264335548
mass,1,0.1228353174,0,0.1172364787,0.8079096514,0.9687865194,1,0.1530792579
mass,1,0.1458619246,0,0.1258380219,0.7921183069,1.02589044,1,0.1856104603
mass,1,0.1732050808,0,0.1346648532,0.7755836831,1.086360281,1,0.2253922957
mass,1,0.2056739624,0,0.1436699425,0.7583448459,1.150394441,1,0.2741203572
mass,1,0.2442294337,0,0.1528024343,0.7404493147,1.218203016,1,0.3339031671
mass,1,0.290012482,0,0.1620087529,0.7219524217,1.290008483,1,0.4073655847
mass,1,0.3443779827,0,0.1712338284,0.7029164495,1.366046435,1,0.4977785076
mass,1,0.4089347953,0,0.1804223842,0.6834095801,1.446566349,1,0.6092215944
mass,1,0.4855933748,0,0.1895202226,0.6635046994,1.53183241,1,0.7467874676
mass,1,0.5766223084,0,0.1984754493,0.6432781054,1.622124373,1,0.9168380201
mass,1,0.6847154509,0,0.2072395774,0.622808172,1.717738484,1,1.127326185
