Q,particle_hole_min_bruteforce,particle_hole_min_closed,pair_min_bruteforce,pair_min_closed
0,0,0,3.60555127546,3.60555127546
0.1,5.11080074475e-05,0,3.52324069114,3.52324069114
0.2,2.91350597199e-05,0,3.44289758442,3.44289758442
0.3,0.000223975706879,0,3.36482557291,3.36482557291
0.4,0.000214475267115,0,3.28938251246,3.28938251246
0.5,0.000226007519987,0,3.21698920011,3.21698920011
0.6,0.000315518601774,0,3.14813804244,3.14813804244
0.7,0.000552529384459,0,3.08340048522,3.08340048522
0.8,0.000319217545202,0,3.02343119931,3.02343119931
0.9,0.000250638313396,0,2.9689660167,2.9689660167
1,0.000461674591029,0,2.92080962648,2.92080962648
1.1,0.000151413429483,0,2.87980859916,2.87980859916
1.2,0.000250407601154,0,2.84680628862,2.84680628862
1.3,0.000923642999789,0,2.82257954045,2.82257954045
1.4,0.00010140120972,0,2.80776319984,2.80776319984
1.5,2.22044604925e-16,0,2.80277563773,2.80277563773
1.6,0.000854054620665,0,2.80776319984,2.80776319984
1.7,0.000368336465117,0,2.82257954045,2.82257954045
1.8,0.0012003337216,0,2.84680628862,2.84680628862
1.9,0.0009925367277,0,2.87980859916,2.87980859916
2,0.00130584712255,0,2.92080962648,2.92080962648
2.1,0.00113272569969,0,2.9689660167,2.9689660167
2.2,0.000903101103839,0,3.02343119931,3.02343119931
2.3,0.00119036596072,0,3.08340048522,3.08340048522
2.4,0.000106702100272,0,3.14813804244,3.14813804244
2.5,0.000104163708424,0,3.21698920011,3.21698920011
2.6,0.000208452657859,0,3.28938251246,3.28938251246
2.7,0.000565400224223,0,3.36482557291,3.36482557291
2.8,0.000336338908354,0,3.44289758442,3.44289758442
2.9,0.000430620784719,0,3.52324069114,3.52324069114
3,0,0,3.60555127546,3.60555127546
3.1,0.0840205886793,0.0840205886793,3.68917334914,3.68917334914
3.2,0.1695326546,0.1695326546,3.77359245282,3.77359245282
3.3,0.256350390465,0.256350390465,3.85875627631,3.85875627631
3.4,0.344315417626,0.344315417626,3.94461658466,3.94461658466
3.5,0.433292339768,0.433292339768,4.03112887415,4.03112887415
