x,rel_err_stable_sigma,rel_err_stable_eps,rel_err_stable_P,rel_err_closed_sigma,rel_err_closed_eps,rel_err_closed_P
4.4668359215e+01,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16
5.0118723363e+01,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16
5.6234132519e+01,1.1102230246e-16,3.3306690739e-16,2.2204460493e-16,1.1102230246e-16,3.3306690739e-16,2.2204460493e-16
6.3095734448e+01,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
7.0794578438e+01,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16
7.9432823472e+01,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00
8.9125093813e+01,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16
1.0000000000e+02,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16
1.1220184543e+02,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16
1.2589254118e+02,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00
1.4125375446e+02,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16
1.5848931925e+02,1.1102230246e-16,3.3306690739e-16,2.2204460493e-16,1.1102230246e-16,3.3306690739e-16,2.2204460493e-16
1.7782794100e+02,2.2204460493e-16,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16,0.0000000000e+00
1.9952623150e+02,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16
2.2387211386e+02,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16
2.5118864315e+02,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16
2.8183829313e+02,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16
3.1622776602e+02,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00
3.5481338923e+02,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16
3.9810717055e+02,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00
4.4668359215e+02,1.1102230246e-16,3.3306690739e-16,2.2204460493e-16,1.1102230246e-16,3.3306690739e-16,2.2204460493e-16
5.0118723363e+02,0.0000000000e+00,1.1102230246e-16,3.3306690739e-16,0.0000000000e+00,1.1102230246e-16,3.3306690739e-16
5.6234132519e+02,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16
6.3095734448e+02,2.2204460493e-16,3.3306690739e-16,0.0000000000e+00,2.2204460493e-16,3.3306690739e-16,0.0000000000e+00
7.0794578438e+02,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16
7.9432823472e+02,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16
8.9125093813e+02,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16
1.0000000000e+03,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16
1.1220184543e+03,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16
1.2589254118e+03,0.0000000000e+00,2.2204460493e-16,4.4408920985e-16,0.0000000000e+00,2.2204460493e-16,4.4408920985e-16
1.4125375446e+03,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16
1.5848931925e+03,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
1.7782794100e+03,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16
1.9952623150e+03,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16
2.2387211386e+03,0.0000000000e+00,0.0000000000e+00,3.3306690739e-16,0.0000000000e+00,0.0000000000e+00,3.3306690739e-16
2.5118864315e+03,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00
2.8183829313e+03,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16
3.1622776602e+03,0.0000000000e+00,0.0000000000e+00,3.3306690739e-16,0.0000000000e+00,0.0000000000e+00,3.3306690739e-16
3.5481338923e+03,2.2204460493e-16,0.0000000000e+00,4.4408920985e-16,2.2204460493e-16,0.0000000000e+00,4.4408920985e-16
3.9810717055e+03,2.2204460493e-16,4.4408920985e-16,4.4408920985e-16,2.2204460493e-16,4.4408920985e-16,4.4408920985e-16
4.4668359215e+03,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16
5.0118723363e+03,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
5.6234132519e+03,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16
6.3095734448e+03,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
7.0794578438e+03,0.0000000000e+00,4.4408920985e-16,2.2204460493e-16,0.0000000000e+00,4.4408920985e-16,2.2204460493e-16
7.9432823472e+03,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16
8.9125093813e+03,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16
1.0000000000e+04,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
1.1220184543e+04,1.1102230246e-16,1.1102230246e-16,1.1102230246e-16,1.1102230246e-16,1.1102230246e-16,1.1102230246e-16
1.2589254118e+04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4125375446e+04,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16
1.5848931925e+04,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16
1.7782794100e+04,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00
1.9952623150e+04,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00
2.2387211386e+04,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16
2.5118864315e+04,0.0000000000e+00,1.1102230246e-16,3.3306690739e-16,0.0000000000e+00,1.1102230246e-16,3.3306690739e-16
2.8183829313e+04,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16
3.1622776602e+04,0.0000000000e+00,1.1102230246e-16,1.1102230246e-16,0.0000000000e+00,1.1102230246e-16,1.1102230246e-16
3.5481338923e+04,0.0000000000e+00,4.4408920985e-16,1.1102230246e-16,0.0000000000e+00,4.4408920985e-16,1.1102230246e-16
3.9810717055e+04,4.4408920985e-16,0.0000000000e+00,2.2204460493e-16,4.4408920985e-16,0.0000000000e+00,2.2204460493e-16
4.4668359215e+04,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16
5.0118723363e+04,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00
5.6234132519e+04,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
6.3095734448e+04,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
7.0794578438e+04,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
7.9432823472e+04,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16
8.9125093813e+04,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16
1.0000000000e+05,2.2204460493e-16,1.1102230246e-16,1.1102230246e-16,2.2204460493e-16,1.1102230246e-16,1.1102230246e-16
1.1220184543e+05,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
1.2589254118e+05,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00
1.4125375446e+05,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00
1.5848931925e+05,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16
1.7782794100e+05,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16
1.9952623150e+05,0.0000000000e+00,1.1102230246e-16,1.1102230246e-16,0.0000000000e+00,1.1102230246e-16,1.1102230246e-16
2.2387211386e+05,1.1102230246e-16,6.6613381478e-16,6.6613381478e-16,1.1102230246e-16,6.6613381478e-16,6.6613381478e-16
2.5118864315e+05,1.1102230246e-16,4.4408920985e-16,2.2204460493e-16,1.1102230246e-16,4.4408920985e-16,2.2204460493e-16
2.8183829313e+05,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16
3.1622776602e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5481338923e+05,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00
3.9810717055e+05,2.2204460493e-16,4.4408920985e-16,2.2204460493e-16,2.2204460493e-16,4.4408920985e-16,2.2204460493e-16
4.4668359215e+05,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16
5.0118723363e+05,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16
5.6234132519e+05,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
6.3095734448e+05,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00
7.0794578438e+05,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16
7.9432823472e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.9125093813e+05,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00
1.0000000000e+06,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16
