run,epochs,gap_roots_per_epoch,max_rel_mass_difference,max_rel_rho_difference
"power nu=0.236, 30 eV",201,1,1.4931557582e-15,1.54513037693e-14
"quadratic gq=-0.5, 30 eV",201,1,1.86644469775e-15,1.50066619343e-14
