case,rust-mathematica t,rust-mathematica H_A,rust-mathematica rho_f,rust-mathematica P_obs_f,rust-mathematica m_eff,rust-mathematica sigma,rust-mathematica kF_over_m,rust-mathematica w_f (abs),scipy-mathematica H_A,scipy-mathematica rho_f,scipy-mathematica P_obs_f,scipy-mathematica m_eff,scipy-mathematica t(A=1)
nb06_fable4d_mass30eV,2.352e-09,3.338e-11,1.271e-14,1.603e-13,1.792e-15,9.938e-15,6.506e-15,3.608e-15,3.347e-11,1.419e-12,1.172e-12,2.986e-16,2.665e-14
nb06_fable4d_power,1.500e-09,3.353e-11,5.540e-14,6.990e-13,5.032e-14,5.242e-14,5.128e-14,8.160e-15,3.362e-11,1.362e-12,1.170e-12,4.586e-14,4.241e-14
