state,z,sigma,m,n
ground state,9.46491930656e-06,0.000191904174211,0.999998080958,1.7705629686
ground state,1.04497519468e-05,0.000221203911518,0.999997787961,1.86039636115
ground state,1.15370572335e-05,0.000254952962313,0.99999745047,1.95478744698
ground state,1.27374975298e-05,0.00029382267873,0.999997061773,2.05396742828
ground state,1.40628446264e-05,0.000338584942556,0.999996614151,2.15817923047
ground state,1.55260951788e-05,0.000390127079857,0.999996098729,2.26767809578
ground state,1.71415981549e-05,0.000449468963085,0.99999550531,2.38273220683
ground state,1.89251955446e-05,0.000517782616827,0.999994822174,2.50362334149
ground state,2.08943777101e-05,0.000596414688244,0.999994035853,2.63064756085
ground state,2.30684548999e-05,0.000686912194213,0.999993130878,2.76411593166
ground state,2.54687466097e-05,0.000791052015299,0.99999208948,2.90435528514
ground state,2.81187906467e-05,0.000910874672616,0.999990891253,3.05170901386
ground state,3.10445739457e-05,0.00104872299867,0.99998951277,3.20653790856
ground state,3.4274787404e-05,0.00120728639836,0.999987927136,3.36922103688
ground state,3.78411072299e-05,0.00138965149298,0.999986103485,3.54015666599
ground state,4.17785055677e-05,0.00159936004948,0.9999840064,3.71976323129
ground state,4.61255934416e-05,0.00184047522156,0.999981595248,3.9084803534
ground state,5.0924999385e-05,0.00211765726944,0.999978823427,4.10676990561
ground state,5.62237874651e-05,0.00243625008425,0.999975637499,4.31511713445
ground state,6.20739188041e-05,0.0028023800225,0.9999719762,4.53403183553
ground state,6.85327611215e-05,0.00322306875903,0.999967769312,4.7640495875
ground state,7.56636512955e-05,0.0037063620954,0.999962936379,5.00573304668
ground state,8.35365164585e-05,0.00426147691855,0.999957385231,5.25967330509
ground state,9.22285597183e-05,0.00489896879444,0.999951010312,5.52649131485
ground state,0.00010182501723,0.00563092300752,0.99994369077,5.80683938165
ground state,0.00011241999404,0.0064711722225,0.999935288278,6.10140273056
ground state,0.000124117386904,0.00743554435504,0.999925644556,6.4109011469
ground state,0.000137031903118,0.00854214469676,0.999914578553,6.7360906956
ground state,0.000151290185369,0.00981167685221,0.999901883231,7.07776552188
ground state,0.000167032053617,0.011267807617,0.999887321924,7.43675973654
ground state,0.000184411876207,0.0129375815615,0.999870624184,7.81394938889
ground state,0.000203600083635,0.0148518917905,0.999851481082,8.21025453034
ground state,0.000224784839831,0.0170460141296,0.999829539859,8.62664137166
ground state,0.000248173887338,0.0195602128511,0.999804397871,9.06412453648
ground state,0.000273996584479,0.022440427004,0.99977559573,9.52376941376
ground state,0.0003025061545,0.0257390474472,0.999742609526,10.0066946112
ground state,0.000333982168736,0.0295157958297,0.999704842042,10.5140745117
ground state,0.000368733288148,0.0338387179893,0.99966161282,11.0471419332
ground state,0.000407100290123,0.0387853055845,0.999612146944,11.6071908937
ground state,0.000449459410216,0.044443761205,0.999555562388,12.19557948
ground state,0.000496226031603,0.0509144237423,0.999490855763,12.8137328179
ground state,0.000547858758418,0.0583113724215,0.999416886276,13.4631461428
ground state,0.000604863912934,0.0667642295899,0.999332357704,14.145387963
ground state,0.000667800500674,0.0764201841127,0.999235798159,14.8621033109
ground state,0.000737285692143,0.0874462590006,0.99912553741,15.6150170692
ground state,0.000814000874948,0.100031848663,0.998999681513,16.4059373607
ground state,0.000898698335634,0.114391552877,0.998856084471,17.2367589815
ground state,0.000992208636782,0.130768336127,0.998692316639,18.1094668546
ground state,0.00109544876169,0.149437042304,0.998505629577,19.0261394733
ground state,0.00120943110653,0.170708295722,0.998292917043,19.9889522946
ground state,0.00133527340812,0.194932819928,0.998050671801,21.0001810339
ground state,0.00147420970471,0.222506205518,0.997774937945,22.0622047995
ground state,0.00162760243727,0.253874157083,0.997461258429,23.177508987
ground state,0.00179695580983,0.289538246981,0.99710461753,24.3486878402
ground state,0.00198393054013,0.330062199674,0.996699378003,25.5784465552
ground state,0.00219036014494,0.37607872429,0.996239212757,26.8696027811
ground state,0.00241826891995,0.428296904408,0.995717030956,28.2250873322
ground state,0.00266989179049,0.487510142049,0.99512489858,29.6479438869
ground state,0.00294769622771,0.55460463677,0.994453953632,31.1413273926
ground state,0.00325440644516,0.63056835948,0.993694316405,32.7085008388
ground state,0.00359303011305,0.716500453133,0.992834995469,34.3528299777
ground state,0.00396688785217,0.81362095723,0.991863790428,36.077775486
ground state,0.0043796457966,0.923280708651,0.990767192913,37.8868819464
ground state,0.0048353515447,1.04697121579,0.989530287842,39.783762899
ground state,0.00533847385079,1.18633423417,0.988136657658,41.7720810529
ground state,0.00589394644673,1.34317068763,0.986568293124,43.8555225647
ground state,0.00650721642324,1.51944847663,0.984805515234,46.0377640724
ground state,0.00718429764532,1.71730859278,0.982826914072,48.3224309199
ground state,0.00793182972557,1.93906881261,0.980609311874,50.7130447166
ground state,0.00875714313373,2.18722407244,0.978127759276,53.2129580489
ground state,0.00966833108097,2.46444242847,0.975355575715,55.8252737911
ground state,0.0106743288837,2.77355528116,0.972264447188,58.5527460682
ground state,0.0117850015854,3.11754029272,0.968824597073,61.3976595036
ground state,0.0130112406955,3.49949515555,0.965005048445,64.3616829622
ground state,0.0143650709937,3.92260008709,0.960773999129,67.4456936146
ground state,0.0158597684482,4.39006664744,0.956099333526,70.6495668266
ground state,0.0175099904025,4.90507022452,0.950949297755,73.9719272097
ground state,0.0193319193087,5.47066334094,0.945293366591,77.4098562275
ground state,0.0213434214164,6.0896668561,0.939103331439,80.9585521715
ground state,0.0235642219732,6.7645362298,0.932354637702,84.610939258
ground state,0.0260160986549,7.49720036484,0.925027996352,88.3572242569
