n,omega,z,f,g
0,70.9853072299,0,4.01787097813,4.01787097813
0,70.9853072299,1.19503415584e-14,4.01787097813,4.01787097812
0,70.9853072299,1.45666085525e-14,4.01787097813,4.01787097812
0,70.9853072299,1.77556502201e-14,4.01787097813,4.01787097812
0,70.9853072299,2.16428631003e-14,4.01787097813,4.01787097812
0,70.9853072299,2.63810965734e-14,4.01787097813,4.01787097812
0,70.9853072299,3.21566630621e-14,4.01787097814,4.01787097812
0,70.9853072299,3.91966640359e-14,4.01787097814,4.01787097812
0,70.9853072299,4.77779198849e-14,4.01787097814,4.01787097811
0,70.9853072299,5.82378547939e-14,4.01787097814,4.01787097811
0,70.9853072299,7.09877646236e-14,4.01787097815,4.01787097811
0,70.9853072299,8.65289895049e-14,4.01787097815,4.0178709781
0,70.9853072299,1.05472627071e-13,4.01787097816,4.0178709781
0,70.9853072299,1.28563561471e-13,4.01787097816,4.01787097809
0,70.9853072299,1.56709753015e-13,4.01787097817,4.01787097809
0,70.9853072299,1.91017940146e-13,4.01787097818,4.01787097808
0,70.9853072299,2.32837157584e-13,4.01787097819,4.01787097807
0,70.9853072299,2.83811781815e-13,4.0178709782,4.01787097806
0,70.9853072299,3.45946189746e-13,4.01787097822,4.01787097804
0,70.9853072299,4.21683572944e-13,4.01787097824,4.01787097802
0,70.9853072299,5.14002006559e-13,4.01787097826,4.017870978
0,70.9853072299,6.26531550429e-13,4.01787097829,4.01787097797
0,70.9853072299,7.63696986925e-13,4.01787097832,4.01787097794
0,70.9853072299,9.30891808145e-13,4.01787097836,4.0178709779
0,70.9853072299,1.1346902938e-12,4.01787097842,4.01787097785
0,70.9853072299,1.38310601897e-12,4.01787097848,4.01787097779
0,70.9853072299,1.68590695642e-12,4.01787097855,4.01787097772
0,70.9853072299,2.05499956382e-12,4.01787097864,4.01787097763
0,70.9853072299,2.50489695842e-12,4.01787097875,4.01787097752
0,70.9853072299,3.05328958836e-12,4.01787097889,4.01787097739
0,70.9853072299,3.7217408401e-12,4.01787097905,4.01787097723
0,70.9853072299,4.53653493389e-12,4.01787097925,4.01787097704
0,70.9853072299,5.52971044749e-12,4.0178709795,4.0178709768
0,70.9853072299,6.74032010747e-12,4.01787097979,4.01787097652
0,70.9853072299,8.21596638423e-12,4.01787098015,4.01787097617
0,70.9853072299,1.00146732723e-11,4.01787098058,4.01787097575
0,70.9853072299,1.22071678559e-11,4.01787098111,4.01787097524
0,70.9853072299,1.48796613738e-11,4.01787098175,4.01787097462
0,70.9853072299,1.81372391381e-11,4.01787098253,4.01787097387
0,70.9853072299,2.21079926005e-11,4.01787098348,4.01787097295
0,70.9853072299,2.69480560467e-11,4.01787098463,4.01787097184
0,70.9853072299,3.28477459631e-11,4.01787098603,4.01787097049
0,70.9853072299,4.00390444857e-11,4.01787098772,4.01787096885
0,70.9853072299,4.88047211863e-11,4.01787098978,4.01787096686
0,70.9853072299,5.94894518755e-11,4.01787099228,4.01787096445
0,70.9853072299,7.25133716251e-11,4.01787099532,4.01787096152
0,70.9853072299,8.83885949303e-11,4.01787099901,4.01787095796
0,70.9853072299,1.077393526e-10,4.01787100348,4.01787095364
0,70.9853072299,1.31326537184e-10,4.01787100892,4.01787094839
0,70.9853072299,1.60077622079e-10,4.01787101551,4.01787094203
0,70.9853072299,1.95123130787e-10,4.01787102351,4.01787093431
0,70.9853072299,2.378410903e-10,4.01787103322,4.01787092494
0,70.9853072299,2.89911216609e-10,4.01787104501,4.01787091358
0,70.9853072299,3.53380962936e-10,4.01787105931,4.01787089979
0,70.9853072299,4.30746027787e-10,4.01787107665,4.01787088306
0,70.9853072299,5.25048488502e-10,4.01787109769,4.01787086278
0,70.9853072299,6.39996418989e-10,4.01787112321,4.01787083818
0,70.9853072299,7.80109695179e-10,4.01787115416,4.01787080836
0,70.9853072299,9.50897721386e-10,4.0178711917,4.0178707722
0,70.9853072299,1.159076066e-09,4.01787123721,4.01787072836
0,70.9853072299,1.41283052484e-09,4.01787129238,4.01787067522
0,70.9853072299,1.72213899542e-09,4.01787135927,4.01787061082
0,70.9853072299,2.0991638186e-09,4.01787144034,4.01787053278
0,70.9853072299,2.55873001484e-09,4.01787153859,4.01787043822
0,70.9853072299,3.11890821995e-09,4.01787165765,4.01787032366
0,70.9853072299,3.80172524184e-09,4.01787180191,4.01787018489
0,70.9853072299,4.63403017824e-09,4.01787197667,4.01787001683
0,70.9853072299,5.64855015206e-09,4.01787218834,4.0178698133
0,70.9853072299,6.8851771769e-09,4.01787244471,4.01786956687
0,70.9853072299,8.39253675389e-09,4.01787275514,4.01786926855
0,70.9853072299,1.02298998785e-08,4.01787313099,4.01786890746
0,70.9853072299,1.24695136397e-08,4.01787358598,4.01786847048
0,70.9853072299,1.51994420529e-08,4.01787413666,4.01786794173
0,70.9853072299,1.85270288316e-08,4.01787480306,4.01786730207
0,70.9853072299,2.25831182575e-08,4.01787560934,4.01786652837
0,70.9853072299,2.75272001176e-08,4.01787658471,4.01786559273
0,70.9853072299,3.3553681014e-08,4.0178777644,4.01786446146
0,70.9853072299,4.089952864e-08,4.01787919093,4.01786309395
0,70.9853072299,4.98535896039e-08,4.01788091561,4.01786144121
0,70.9853072299,6.07679471878e-08,4.01788300033,4.01785944417
0,70.9853072299,7.40717656392e-08,4.01788551971,4.01785703166
0,70.9853072299,9.02881653704e-08,4.01788856372,4.01785411791
0,70.9853072299,1.10054792614e-07,4.01789224077,4.01785059964
0,70.9853072299,1.34148892355e-07,4.01789668145,4.01784635246
0,70.9853072299,1.63517870442e-07,4.01790204304,4.01784122671
0,70.9853072299,1.99316546597e-07,4.01790851491,4.01783504228
0,70.9853072299,2.42952563165e-07,4.0179163249,4.01782758258
0,70.9853072299,2.96141735125e-07,4.01792574714,4.01781858724
0,70.9853072299,3.60975517774e-07,4.01793711124,4.01780774337
0,70.9853072299,4.40003244991e-07,4.01795081337,4.01779467516
0,70.9853072299,5.3633237178e-07,4.01796732952,4.01777893142
0,70.9853072299,6.53750662738e-07,4.01798723129,4.01775997073
0,70.9853072299,7.96875131016e-07,4.01801120477,4.01773714373
0,70.9853072299,9.71333584232e-07,4.01804007304,4.017709672
0,70.9853072299,1.1839859159e-06,4.01807482298,4.01767662295
0,70.9853072299,1.44319384382e-06,4.01811663725,4.01763687991
0,70.9853072299,1.75914970175e-06,4.01816693218,4.01758910666
0,70.9853072299,2.14427721295e-06,4.01822740293,4.01753170521
0,70.9853072299,2.61372000427e-06,4.01830007701,4.01746276587
0,70.9853072299,3.18593706982e-06,4.01838737762,4.01738000803
0,70.9853072299,3.88342859843e-06,4.01849219871,4.01728071012
0,70.9853072299,4.73362070519e-06,4.01861799352,4.01716162686
0,70.9853072299,5.7699438557e-06,4.01876887909,4.01701889161
0,70.9853072299,7.03314738788e-06,4.01894975909,4.0168479013
0,70.9853072299,8.57290181962e-06,4.01916646816,4.01664318102
0,70.9853072299,1.04497519468e-05,4.01942594077,4.0163982249
0,70.9853072299,1.27374975298e-05,4.01973640856,4.01610530937
0,70.9853072299,1.55260951788e-05,4.02010762976,4.01575527442
0,70.9853072299,1.89251955446e-05,4.02055115521,4.01533726761
0,70.9853072299,2.30684548999e-05,4.0210806352,4.01483844502
0,70.9853072299,2.81187906467e-05,4.02171217149,4.01424362221
0,70.9853072299,3.4274787404e-05,4.02246471841,4.01353486746
0,70.9853072299,4.17785055677e-05,4.02336053625,4.01269102785
0,70.9853072299,5.0924999385e-05,4.02442569825,4.0116871777
0,70.9853072299,6.20739188041e-05,4.02569065031,4.01049397614
0,70.9853072299,7.56636512955e-05,4.02719081783,4.00907691873
0,70.9853072299,9.22285597183e-05,4.02896724825,4.00739546363
0,70.9853072299,0.00011241999404,4.03106726778,4.00540200892
0,70.9853072299,0.000137031903118,4.03354511734,4.00304069001
0,70.9853072299,0.000167032053617,4.03646251225,4.00024595761
0,70.9853072299,0.000203600083635,4.03988904154,3.99694088273
0,70.9853072299,0.000248173887338,4.04390228222,3.99303511687
0,70.9853072299,0.0003025061545,4.04858744638,3.98842240889
0,70.9853072299,0.000368733288148,4.05403629996,3.98297754275
0,70.9853072299,0.000449459410216,4.0603449822,3.97655250804
0,70.9853072299,0.000547858758418,4.06761020498,3.96897164335
0,70.9853072299,0.000667800500674,4.07592310793,3.96002539403
0,70.9853072299,0.000814000874948,4.08535977384,3.94946219454
0,70.9853072299,0.000992208636782,4.09596705043,3.93697781316
0,70.9853072299,0.00120943110653,4.10774186164,3.92220127915
0,70.9853072299,0.00147420970471,4.12060160999,3.90467624794
0,70.9853072299,0.00179695580983,4.1343425689,3.88383636246
0,70.9853072299,0.00219036014494,4.148582369,3.85897287281
0,70.9853072299,0.00266989179049,4.16268188323,3.82919256316
0,70.9853072299,0.00325440644516,4.17564121295,3.79336405849
0,70.9853072299,0.00396688785217,4.18596447005,3.75005112112
0,70.9853072299,0.0048353515447,4.19148936493,3.69743306267
0,70.9853072299,0.00589394644673,4.18918148579,3.63321562168
0,70.9853072299,0.00718429764532,4.17490154961,3.55454165418
0,70.9853072299,0.00875714313373,4.14316965953,3.4579211434
0,70.9853072299,0.0106743288837,4.08697728249,3.33921581654
0,70.9853072299,0.0130112406955,3.99773856452,3.1937358154
0,70.9853072299,0.0158597684482,3.86552793419,3.01653262233
0,70.9853072299,0.0193319193087,3.67981172809,2.80299604917
0,70.9853072299,0.0235642219732,3.43091922689,2.54986466819
0,70.9853072299,0.0270668550424,3.21545256802,2.3487137788
0,70.9853072299,0.0298831835765,3.04026806529,2.19353612763
0,70.9853072299,0.0329925534114,2.84785390596,2.0296936757
0,70.9853072299,0.0364254557356,2.63940724698,1.85846266596
0,70.9853072299,0.0402155543707,2.41691700786,1.68158374749
0,70.9853072299,0.0444000158868,2.18322562239,1.50127160631
0,70.9853072299,0.0490198740661,1.94203453445,1.32018790679
0,70.9853072299,0.052,1.79648194183,1.21309197599
0,70.9853072299,0.0545,1.68060835642,1.12891272437
0,70.9853072299,0.05725,1.55973787162,1.04206690314
0,70.9853072299,0.05975,1.45580630233,0.968143976644
0,70.9853072299,0.0625,1.34792493736,0.892119336493
0,70.9853072299,0.065,1.25557881677,0.827597494499
0,70.9853072299,0.0675,1.16853534264,0.767237493713
0,70.9853072299,0.07,1.08662545098,0.710834458936
0,70.9853072299,0.0725,1.00966438729,0.658184789599
0,70.9853072299,0.075,0.937456128106,0.609087727366
0,70.9853072299,0.07775,0.86327344725,0.558949670634
0,70.9853072299,0.08025,0.800378367875,0.516679138527
0,70.9853072299,0.08275,0.741593947206,0.477369224768
0,70.9853072299,0.08525,0.686711080733,0.440841512887
0,70.9853072299,0.088,0.630599608646,0.403670087466
0,70.9853072299,0.0905,0.583241711133,0.372435681371
0,70.9853072299,0.093,0.539158282361,0.343475919077
0,70.9853072299,0.0955,0.498157822594,0.316642358984
0,70.9853072299,0.098,0.460055412535,0.291794068474
0,70.9853072299,0.1005,0.424673199765,0.268797546596
0,70.9853072299,0.103,0.391840735422,0.247526594117
0,70.9853072299,0.1055,0.361395184525,0.227862141303
0,70.9853072299,0.108,0.333181430418,0.209692042454
0,70.9853072299,0.11075,0.30454835547,0.191305248452
0,70.9853072299,0.11325,0.280550807458,0.17593772658
0,70.9853072299,0.11575,0.258353026363,0.161758313213
0,70.9853072299,0.11825,0.237831001173,0.148680662136
0,70.9853072299,0.12075,0.218867898203,0.136624030726
0,70.9853072299,0.1235,0.199678088851,0.124451156029
0,70.9853072299,0.126,0.183639012342,0.114299202679
0,70.9853072299,0.1285,0.16883966123,0.10495058852
0,70.9853072299,0.131,0.155190002424,0.0963446710657
0,70.9853072299,0.1335,0.142605833196,0.0884250334185
0,70.9853072299,0.136,0.131008494557,0.0811392336811
0,70.9853072299,0.1385,0.120324585806,0.074438563392
0,70.9853072299,0.141,0.110485682638,0.0682778155679
0,70.9853072299,0.1435,0.101428060734,0.0626150627315
0,70.9853072299,0.146,0.0930924263744,0.0574114451513
0,70.9853072299,0.1485,0.0854236552686,0.0526309693841
0,70.9853072299,0.151,0.0783705405083,0.048240317099
0,70.9853072299,0.1535,0.0718855503003,0.0442086640763
0,70.9853072299,0.15625,0.0653557223258,0.0401545391464
0,70.9853072299,0.15875,0.0599241235016,0.0367865889975
0,70.9853072299,0.16125,0.0549342090259,0.0336961405089
0,70.9853072299,0.16375,0.0503512033029,0.0308609110309
0,70.9853072299,0.16625,0.0461429331133,0.0282603384953
0,70.9853072299,0.16875,0.042279649355,0.0258754567919
0,70.9853072299,0.1715,0.0383957469197,0.0234803808219
0,70.9853072299,0.174,0.0351699436765,0.0214931628987
0,70.9853072299,0.1765,0.0322105488758,0.0196717661402
0,70.9853072299,0.179,0.0294960988343,0.0180026289146
0,70.9853072299,0.1815,0.0270067956409,0.0164732664485
0,70.9853072299,0.184,0.0247243854908,0.0150721891518
0,70.9853072299,0.1865,0.0226320449669,0.0137888266733
0,70.9853072299,0.189,0.0207142748728,0.0126134573429
0,70.9853072299,0.1915,0.0189568012201,0.0115371426685
0,70.9853072299,0.194,0.0173464829824,0.0105516665716
0,70.9853072299,0.1965,0.0158712262329,0.00964947905767
0,70.9853072299,0.199,0.0145199042962,0.00882364403234
0,70.9853072299,0.2015,0.0132822835543,0.00806779098791
0,70.9853072299,0.204,0.012148954561,0.00737607030099
0,70.9853072299,0.2065,0.0111112681338,0.0067431118939
0,70.9853072299,0.209,0.0101612761028,0.00616398702787
0,70.9853072299,0.2115,0.00929167641756,0.00563417300857
0,70.9853072299,0.214,0.00849576232056,0.00514952059824
0,70.9853072299,0.2165,0.00776737531634,0.00470622394073
0,70.9853072299,0.219,0.00710086167685,0.0043007928181
0,70.9853072299,0.2215,0.0064910322393,0.00393002706897
0,70.9853072299,0.224,0.00593312526657,0.00359099300976
0,70.9853072299,0.22675,0.00537419506004,0.00325150321585
0,70.9853072299,0.22925,0.00491153599937,0.00297062091419
0,70.9853072299,0.23175,0.00448839857242,0.00271384422467
0,70.9853072299,0.23425,0.00410144243701,0.00247912271533
0,70.9853072299,0.23675,0.00374760542154,0.00226457823664
0,70.9853072299,0.23925,0.00342408084595,0.00206849069409
0,70.9853072299,0.24175,0.00312829663435,0.00188928496648
0,70.9853072299,0.24425,0.00285789608452,0.00172551888123
0,70.9853072299,0.24675,0.00261072016905,0.00157587216436
0,70.9853072299,0.24925,0.00238479125141,0.00143913628865
0,70.9853072299,0.25175,0.00217829810854,0.0013142051497
0,70.9853072299,0.25425,0.00198958215932,0.00120006650404
0,70.9853072299,0.25675,0.00181712480547,0.0010957941093
0,70.9853072299,0.25925,0.00165953579823,0.00100054051014
0,70.9853072299,0.26175,0.00151554255066,0.000913530418556
0,70.9853072299,0.26425,0.00138398032106,0.000834054640809
0,70.9853072299,0.26675,0.00126378319884,0.000761464506917
0,70.9853072299,0.26925,0.0011539758292,0.000695166762176
0,70.9853072299,0.27175,0.0010536658177,0.000634618883248
0,70.9853072299,0.27425,0.000962036760525,0.000579324784296
0,70.9853072299,0.27675,0.00087834185012,0.000528830881386
0,70.9853072299,0.27925,0.000801898010019,0.000482722485864
0,70.9853072299,0.28175,0.000732080516,0.000440620499734
0,70.9853072299,0.28425,0.000668318064253,0.000402178388251
0,70.9853072299,0.28675,0.000610088250194,0.00036707940685
0,70.9853072299,0.28925,0.000556913424478,0.000335034061454
0,70.9853072299,0.292,0.000503739571972,0.000302996058635
0,70.9853072299,0.2945,0.00045980342349,0.000276529323295
0,70.9853072299,0.297,0.000419686713144,0.000252367937012
