lam,z,sigma,m,n
-0.01,4.00390444857e-11,-9.92888957363e-17,1,2.20999328588e-06
-0.01,4.42051400031e-11,-1.15005123639e-16,1,2.32212442787e-06
-0.01,4.88047211863e-11,-1.3320647108e-16,1,2.43994490525e-06
-0.01,5.38828925755e-11,-1.54286003589e-16,1,2.56374338479e-06
-0.01,5.94894518755e-11,-1.78699281051e-16,1,2.69382317974e-06
-0.01,6.56793782829e-11,-2.06972241305e-16,1,2.83050299291e-06
-0.01,7.25133716251e-11,-2.39713704943e-16,1,2.97411769751e-06
-0.01,8.00584475968e-11,-2.77629621183e-16,1,3.12501915764e-06
-0.01,8.83885949303e-11,-3.21536669829e-16,1,3.28357709037e-06
-0.01,9.75855009468e-11,-3.72381437302e-16,1,3.45017997153e-06
-0.01,1.077393526e-10,-4.31258891403e-16,1,3.62523598755e-06
-0.01,1.18949720871e-10,-4.99436952369e-16,1,3.8091740355e-06
-0.01,1.31326537184e-10,-5.78383999735e-16,1,4.00244477393e-06
-0.01,1.44991171415e-10,-6.69796943811e-16,1,4.20552172701e-06
-0.01,1.60077622079e-10,-7.75645221391e-16,1,4.41890244468e-06
-0.01,1.76733830347e-10,-8.98205270043e-16,1,4.64310972169e-06
-0.01,1.95123130787e-10,-1.04011240526e-15,1,4.87869287846e-06
-0.01,2.15425853065e-10,-1.20441576894e-15,1,5.12622910695e-06
-0.01,2.378410903e-10,-1.39464735648e-15,1,5.38632488483e-06
-0.01,2.62588651408e-10,-1.61489480319e-15,1,5.65961746135e-06
-0.01,2.89911216609e-10,-1.86988932154e-15,1,5.94677641867e-06
-0.01,3.20076717196e-10,-2.16510600869e-15,1,6.24850531236e-06
-0.01,3.53380962936e-10,-2.50688416537e-15,1,6.56554339514e-06
-0.01,3.90150542842e-10,-2.9025548739e-15,1,6.89866742811e-06
-0.01,4.30746027787e-10,-3.36060945505e-15,1,7.24869358383e-06
-0.01,4.75565506337e-10,-3.89087210704e-15,1,7.61647944603e-06
-0.01,5.25048488502e-10,-4.50471121572e-15,1,8.00292611068e-06
-0.01,5.79680215668e-10,-5.21528528402e-15,1,8.4089803938e-06
-0.01,6.39996418989e-10,-6.03781958712e-15,1,8.83563715113e-06
-0.01,7.06588572886e-10,-6.98993408177e-15,1,9.28394171564e-06
-0.01,7.80109695179e-10,-8.09201582943e-15,1,9.75499245862e-06
-0.01,8.61280750729e-10,-9.36765585959e-15,1,1.02499434808e-05
-0.01,9.50897721386e-10,-1.08441549246e-14,1,1.07700074398e-05
-0.01,1.04983941156e-09,-1.25530973727e-14,1,1.13164585215e-05
-0.01,1.159076066e-09,-1.45310261675e-14,1,1.18906355616e-05
-0.01,1.2796788842e-09,-1.68202317759e-14,1,1.2493945326e-05
-0.01,1.41283052484e-09,-1.94696237671e-14,1,1.31278659571e-05
-0.01,1.55983670323e-09,-2.25358023528e-14,1,1.37939505961e-05
-0.01,1.72213899542e-09,-2.60842461232e-14,1,1.44938311874e-05
-0.01,1.90132897464e-09,-3.01907029928e-14,1,1.52292224774e-05
-0.01,2.0991638186e-09,-3.49427978741e-14,1,1.60019262158e-05
-0.01,2.31758354083e-09,-4.04418976115e-14,1,1.68138355697e-05
-0.01,2.55873001484e-09,-4.68052476002e-14,1,1.76669397621e-05
-0.01,2.82496797786e-09,-5.41684918737e-14,1,1.85633289457e-05
-0.01,3.11890821995e-09,-6.26884930978e-14,1,1.95051993237e-05
-0.01,3.44343318604e-09,-7.25467178102e-14,1,2.04948585305e-05
-0.01,3.80172524184e-09,-8.39530295059e-14,1,2.1534731286e-05
-0.01,4.19729788078e-09,-9.71501567196e-14,1,2.26273653357e-05
-0.01,4.63403017824e-09,-1.12418816324e-13,1,2.37754376931e-05
-0.01,5.11620483053e-09,-1.30083647232e-13,1,2.49817611987e-05
-0.01,5.64855015206e-09,-1.50520090502e-13,1,2.62492914111e-05
-0.01,6.23628644223e-09,-1.74162285852e-13,1,2.75811338486e-05
-0.01,6.8851771769e-09,-2.01512284818e-13,1,2.89805515976e-05
-0.01,7.60158552633e-09,-2.33150563751e-13,1,3.04509733076e-05
-0.01,8.39253675389e-09,-2.6974837239e-13,1,3.19960015914e-05
-0.01,9.26578710736e-09,-3.1208177922e-13,1,3.36194218514e-05
-0.01,1.02298998785e-08,-3.61048086085e-13,1,3.53252115543e-05
-0.01,1.12943293766e-08,-4.17684682908e-13,1,3.7117549976e-05
-0.01,1.24695136397e-08,-4.83190892954e-13,1,3.90008284405e-05
-0.01,1.37669767921e-08,-5.58953190326e-13,1,4.09796610795e-05
-0.01,1.51994420529e-08,-6.46574325179e-13,1,4.30588961366e-05
-0.01,1.67809565025e-08,-7.47906989039e-13,1,4.52436278455e-05
-0.01,1.85270288316e-08,-8.65092721928e-13,1,4.75392089116e-05
-0.01,2.0454781423e-08,-1.00060681537e-12,1,4.99512636255e-05
-0.01,2.25831182575e-08,-1.15731019207e-12,1,5.24857016431e-05
-0.01,2.49329102905e-08,-1.33850937345e-12,1,5.51487324639e-05
-0.01,2.75272001176e-08,-1.54802569256e-12,1,5.79468806446e-05
-0.01,3.03914279354e-08,-1.79027522202e-12,1,6.08870017838e-05
-0.01,3.3553681014e-08,-2.07036117049e-12,1,6.39762993186e-05
-0.01,3.70449691268e-08,-2.39418039873e-12,1,6.72223421726e-05
-0.01,4.089952864e-08,-2.7685466716e-12,1,7.06330832994e-05
-0.01,4.51551582415e-08,-3.20133270566e-12,1,7.42168791674e-05
-0.01,4.98535896039e-08,-3.70163443564e-12,1,7.79825102325e-05
-0.01,5.50408966149e-08,-4.27996036863e-12,1,8.193920245e-05
-0.01,6.07679471878e-08,-4.94845048726e-12,1,8.60966498771e-05
-0.01,6.70909020842e-08,-5.72112871115e-12,1,9.04650384227e-05
-0.01,7.40717656392e-08,-6.61419444818e-12,1,9.50550708023e-05
-0.01,8.177899379e-08,-7.64635905971e-12,1,9.98779927577e-05
-0.01,9.02881653704e-08,-8.83923411853e-12,1,0.000104945620608
-0.01,9.96827232539e-08,-1.0217779659e-11,1,0.000110270370199
-0.01,1.10054792614e-07,-1.18108212389e-11,1,0.000115865287316
-0.01,1.21506084323e-07,-1.36516467598e-11,1,0.000121744079649
-0.01,1.34148892355e-07,-1.57786948838e-11,1,0.000127921150369
-0.01,1.48107194964e-07,-1.82363495972e-11,1,0.000134411633413
-0.01,1.63517870442e-07,-2.10758562825e-11,1,0.000141231430561
-0.01,1.80532039382e-07,-2.43563791634e-11,1,0.000148397250387
-0.01,1.99316546597e-07,-2.81462204669e-11,1,0.000155926649187
-0.01,2.2005559724e-07,-3.25242268715e-11,1,0.000163838073993
-0.01,2.42952563165e-07,-3.75814111944e-11,1,0.00017215090775
-0.01,2.6823197723e-07,-4.3422822822e-11,1,0.000180885516803
-0.01,2.96141735125e-07,-5.01697041995e-11,1,0.000190063300777
-0.01,3.2695552629e-07,-5.79619774207e-11,1,0.000199706744997
-0.01,3.60975517774e-07,-6.6961110746e-11,1,0.000209839475558
-0.01,3.98535317359e-07,-7.73534229536e-11,1,0.000220486317193
-0.01,4.40003244991e-07,-8.93538922037e-11,1,0.000231673354073
-0.01,4.85785944606e-07,-1.03210546342e-10,1,0.000243427993687
-0.01,5.3633237178e-07,-1.19209521342e-10,1,0.000255779033959
-0.01,5.92138196285e-07,-1.37680891488e-10,1,0.000268756733775
-0.01,6.53750662738e-07,-1.59005386135e-10,1,0.000282392887072
-0.01,7.21773957012e-07,-1.83622128102e-10,1,0.000296720900692
-0.01,7.96875131016e-07,-2.12037548089e-10,1,0.000311775876172
-0.01,8.79790643957e-07,-2.44835652613e-10,1,0.000327594695683
-0.01,9.71333584232e-07,-2.82689849168e-10,1,0.000344216112317
-0.01,1.07240164275e-06,-3.26376564768e-10,1,0.00036168084495
-0.01,1.1839859159e-06,-3.76790925815e-10,1,0.000380031677905
-0.01,1.30718062447e-06,-4.34964811004e-10,1,0.000399313565657
-0.01,1.44319384382e-06,-5.02087633093e-10,1.00000000001,0.000419573742845
-0.01,1.59335935053e-06,-5.79530259245e-10,1.00000000001,0.000440861839838
-0.01,1.75914970175e-06,-6.68872539313e-10,1.00000000001,0.000463230004155
-0.01,1.9421906754e-06,-7.71934984633e-10,1.00000000001,0.000486733028016
-0.01,2.14427721295e-06,-8.90815215715e-10,1.00000000001,0.000511428482344
-0.01,2.36739102097e-06,-1.02792989216e-09,1.00000000001,0.000537376857535
-0.01,2.61372000427e-06,-1.18606294198e-09,1.00000000001,0.000564641711332
-0.01,2.88567972092e-06,-1.36842102973e-09,1.00000000001,0.000593289824167
-0.01,3.18593706982e-06,-1.57869733946e-09,1.00000000002,0.000623391362333
-0.01,3.51743644289e-06,-1.8211449073e-09,1.00000000002,0.000655020049386
-0.01,3.88342859843e-06,-2.1006609219e-09,1.00000000002,0.000688253346175
-0.01,4.28750253885e-06,-2.42288361611e-09,1.00000000002,0.000723172639938
-0.01,4.73362070519e-06,-2.79430361126e-09,1.00000000003,0.000759863442904
-0.01,5.22615783373e-06,-3.22239185169e-09,1.00000000003,0.000798415600876
-0.01,5.7699438557e-06,-3.71574657045e-09,1.00000000004,0.000838923512284
-0.01,6.3703112606e-06,-4.28426209068e-09,1.00000000004,0.000881486358214
-0.01,7.03314738788e-06,-4.93932266918e-09,1.00000000005,0.000926208343962
-0.01,7.76495215949e-06,-5.69402505614e-09,1.00000000006,0.000973198952665
-0.01,8.57290181962e-06,-6.56343397185e-09,1.00000000007,0.00102257321159
-0.01,9.46491930656e-06,-7.56487531145e-09,1.00000000008,0.00107445197169
-0.01,1.04497519468e-05,-8.71827257884e-09,1.00000000009,0.00112896220108
-0.01,1.15370572335e-05,-1.00465328386e-08,1.0000000001,0.00118623729309
-0.01,1.27374975298e-05,-1.15759893741e-08,1.00000000012,0.00124641738953
-0.01,1.40628446264e-05,-1.333690927e-08,1.00000000013,0.00130964971996
-0.01,1.55260951788e-05,-1.53640752996e-08,1.00000000015,0.00137608895766
-0.01,1.71415981549e-05,-1.76974528285e-08,1.00000000018,0.00144589759312
-0.01,1.89251955446e-05,-2.03829539629e-08,1.0000000002,0.00151924632568
-0.01,2.08943777101e-05,-2.34733128955e-08,1.00000000023,0.00159631447443
-0.01,2.30684548999e-05,-2.70290883398e-08,1.00000000027,0.00167729040889
-0.01,2.54687466097e-05,-3.11198112001e-08,1.00000000031,0.00176237200059
-0.01,2.81187906467e-05,-3.58252981086e-08,1.00000000036,0.00185176709628
-0.01,3.10445739457e-05,-4.12371543632e-08,1.00000000041,0.00194569401374
-0.01,3.4274787404e-05,-4.74604930115e-08,1.00000000047,0.00204438206116
-0.01,3.78411072299e-05,-5.46159005263e-08,1.00000000055,0.00214807208083
-0.01,4.17785055677e-05,-6.28416836692e-08,1.00000000063,0.00225701701831
-0.01,4.61255934416e-05,-7.22964368419e-08,1.00000000072,0.0023714825179
-0.01,5.0924999385e-05,-8.31619745437e-08,1.00000000083,0.00249174754525
-0.01,5.62237874651e-05,-9.56466795597e-08,1.00000000096,0.00261810503824
-0.01,6.20739188041e-05,-1.09989324249e-07,1.0000000011,0.00275086258671
-0.01,6.85327611215e-05,-1.26463429934e-07,1.00000000126,0.0028903431422
-0.01,7.56636512955e-05,-1.45382237961e-07,1.00000000145,0.00303688575816
-0.01,8.35365164585e-05,-1.67104375585e-07,1.00000000167,0.00319084636154
-0.01,9.22285597183e-05,-1.92040310678e-07,1.00000000192,0.00335259855628
-0.01,0.00010182501723,-2.20659701286e-07,1.00000000221,0.00352253445913
-0.01,0.00011241999404,-2.53499759592e-07,1.00000000253,0.00370106556813
-0.01,0.000124117386904,-2.91174764904e-07,1.00000000291,0.0038886236639
-0.01,0.000137031903118,-3.34386877043e-07,1.00000000334,0.0040856617435
-0.01,0.000151290185369,-3.83938420178e-07,1.00000000384,0.00429265498653
-0.01,0.000167032053617,-4.40745827748e-07,1.00000000441,0.00451010175267
-0.01,0.000184411876207,-5.05855461998e-07,1.00000000506,0.00473852460936
-0.01,0.000203600083635,-5.80461546724e-07,1.0000000058,0.00497847138812
-0.01,0.000224784839831,-6.65926479493e-07,1.00000000666,0.00523051626696
-0.01,0.000248173887338,-7.63803819721e-07,1.00000000764,0.0054952608761
-0.01,0.000273996584479,-8.75864281898e-07,1.00000000876,0.005773335423
-0.01,0.0003025061545,-1.00412509883e-06,1.00000001004,0.00606539983195
-0.01,0.000333982168736,-1.1508831581e-06,1.00000001151,0.0063721448922
-0.01,0.000368733288148,-1.31875235588e-06,1.00000001319,0.00669429340737
-0.01,0.000407100290123,-1.51070565585e-06,1.00000001511,0.00703260133714
-0.01,0.000449459410216,-1.73012238647e-06,1.0000000173,0.0073878589205
-0.01,0.000496226031603,-1.98084135729e-06,1.00000001981,0.00776089176764
-0.01,0.000547858758418,-2.26722042341e-06,1.00000002267,0.0081525619051
-0.01,0.000604863912934,-2.59420317569e-06,1.00000002594,0.00856376875577
-0.01,0.000667800500674,-2.96739348156e-06,1.00000002967,0.00899545003219
-0.01,0.000737285692143,-3.39313864567e-06,1.00000003393,0.00944858251739
-0.01,0.000814000874948,-3.87862199902e-06,1.00000003879,0.00992418270331
-0.01,0.000898698335634,-4.43196575648e-06,1.00000004432,0.0104233072514
-0.01,0.000992208636782,-5.06234500264e-06,1.00000005062,0.0109470532345
-0.01,0.00109544876169,-5.78011366969e-06,1.0000000578,0.0114965581107
-0.01,0.00120943110653,-6.59694335348e-06,1.00000006597,0.0120729993753
-0.01,0.00133527340812,-7.52597576771e-06,1.00000007526,0.0126775938234
-0.01,0.00147420970471,-8.58198955347e-06,1.00000008582,0.0133115963493
-0.01,0.00162760243727,-9.781582031e-06,1.00000009782,0.0139762981958
-0.01,0.00179695580983,-1.11433662916e-05,1.00000011143,0.0146730245516
-0.01,0.00198393054013,-1.26881837643e-05,1.00000012688,0.0154031313837
-0.01,0.00219036014494,-1.44393320365e-05,1.00000014439,0.0161680013698
-0.01,0.00241826891995,-1.64228072429e-05,1.00000016423,0.0169690387824
-0.01,0.00266989179049,-1.86675597343e-05,1.00000018668,0.0178076631497
-0.01,0.00294769622771,-2.12057609734e-05,1.00000021206,0.0186853014979
-0.01,0.00325440644516,-2.4073078647e-05,1.00000024073,0.0196033789543
-0.01,0.00359303011305,-2.73089557993e-05,1.00000027309,0.0205633074587
-0.01,0.00396688785217,-3.09568883375e-05,1.00000030957,0.0215664723027
-0.01,0.0043796457966,-3.50646935035e-05,1.00000035065,0.0226142161841
-0.01,0.0048353515447,-3.96847598006e-05,1.00000039685,0.0237078204247
-0.01,0.00533847385079,-4.48742663634e-05,1.00000044874,0.0248484829688
-0.01,0.00589394644673,-5.06953568393e-05,1.00000050695,0.0260372927407
-0.01,0.00650721642324,-5.72152494609e-05,1.00000057215,0.0272751999026
-0.01,0.00718429764532,-6.4506261127e-05,1.00000064506,0.0285629815259
-0.01,0.00793182972557,-7.26457189729e-05,1.00000072646,0.0299012021562
-0.01,0.00875714313373,-8.17157281258e-05,1.00000081716,0.0312901687371
-0.01,0.00966833108097,-9.18027591978e-05,1.00000091803,0.0327298793474
