x,E_per_A,Delta_E_per_A,Delta_E_per_promoted
0.01,957.980402136,20.7513619747,20.7513619747
0.05,1041.82304286,104.594002699,20.9188005398
0.1,1148.47935093,211.25031077,21.125031077
0.2,1367.82110028,430.592060117,21.5296030059
