x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
0.000000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
5.000000000000000e-2,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.000000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.500000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
2.000000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
2.500000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
3.000000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
3.500000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
4.000000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
4.500000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
5.000000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
5.500000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
6.000000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
6.500000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
7.000000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
7.500000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
8.000000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
8.500000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
9.000000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
9.500000000000000e-1,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.000000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.050000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.100000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.150000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.200000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.250000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.300000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.350000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.400000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.450000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.500000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.550000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.600000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.650000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.700000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.750000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.800000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.850000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.900000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
1.950000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
2.000000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
2.050000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
2.100000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,1.000000000000000e0,1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
