k,omega0_sc,omega1_sc,gap_sc,gap_bare
34,31.927594105,34.0127280728,2.0851339678,2.05243246302
40,37.1815609838,39.9618057304,2.78024474656,2.75316252563
60,54.2971255198,59.3208089874,5.02368346764,4.99629484369
80,70.9661170812,78.1509751057,7.18485802457,7.15894210252
