model,a_start,T_start_MeV,H_B_today,rho_U_today,q0,t0,w_f_05,G_BBN_over_G1
fable4d,1e-12,234.86541806,0,0.685664712581,-0.528451020843,0.951246512174,-0.244385837789,1
fable4d,1e-11,23.486541806,0,0.685664712581,-0.528451020843,0.951246510304,-0.244385846968,1
fable4d,1e-10,2.3486541806,0,0.685664712581,-0.528451020843,0.951246512298,-0.244385836589,1
fable8d,1e-12,234.86541806,0.999902029766,6.68488097134,-0.842486541055,0.652899266076,-0.164884834974,1.04605710331e+12
fable8d,1e-11,23.486541806,0.999902029908,6.68488097292,-0.842486540972,0.652899265712,-0.164884977537,1.04605710294e+12
fable8d,1e-10,2.3486541806,0.999902029332,6.68488097038,-0.842486544662,0.652899266556,-0.164884818972,1.04605707523e+12
