x4,phi_mid,KE_mid,PE_mid,G0_mid,rho_mid,P_mid,w_mid,E_sheet,P_sheet,w_sheet,KE_frac,PE_frac,G0_frac,E_drift
0.000000000000000e0,9.999999999999998e-1,0.000000000000000e0,4.999999999999998e-1,3.865093245079168e1,3.915093245079168e1,-3.915093245079168e1,-1.000000000000000e0,5.983443747657427e0,-5.983443747657427e0,-1.000000000000000e0,0.000000000000000e0,2.203430784951107e-2,9.779656921504889e-1,0.000000000000000e0
1.000000000000000e-1,9.498936820342250e-1,1.290608362895424e1,4.511490035842686e-1,7.462800288539787e0,2.082003292107830e1,4.992134336830187e0,2.397755256081333e-1,5.983443747291490e0,1.158252481590818e0,1.935762297615183e-1,5.967881148807591e-1,1.932941068078811e-2,3.838824744384527e-1,-6.115818962371122e-11
2.000000000000000e-1,6.391777070620527e-1,1.158035958428324e0,2.042740706025516e-1,9.244032419209892e-1,2.286713270951865e0,2.935864590478354e-2,1.283879630985075e-2,5.983443747015437e0,6.285816993090902e-1,1.050534986014749e-1,5.525267493007374e-1,2.006445837130546e-2,4.274087923279571e-1,-1.072942845681268e-10
3.000000000000000e-1,6.098145709063644e-1,5.491852297528873e-1,1.859369054448566e-1,2.263719241343051e0,2.998841376540795e0,-1.900470917035020e0,-6.337350591138101e-1,5.983443746928619e0,5.657297148720648e-1,9.454918251090125e-2,5.472745912554506e-1,1.894535818167400e-2,4.337800505628754e-1,-1.218041223438604e-10
4.000000000000000e-1,9.862876269042851e-1,1.040441971255362e1,4.863816414922431e-1,8.882065753502891e0,1.977286710754876e1,1.035972317558487e0,5.239363173401294e-2,5.983443747018311e0,2.302560295476518e0,3.848219174156918e-1,6.924109587078459e-1,1.654371429961923e-2,2.910453269925348e-1,-1.068140020876740e-10
5.000000000000000e-1,9.756715889725219e-1,1.293900658396425e1,4.759675247640829e-1,4.783889474034314e1,6.125386884907148e1,-3.537585568114297e1,-5.775285111918155e-1,5.983443747683585e0,-2.191002322259644e0,-3.661774748208944e-1,3.169112625895528e-1,1.742939674410002e-2,6.656593406663471e-1,4.371614181764016e-12
6.000000000000000e-1,7.567049327589561e-1,1.123824271993185e1,2.863011776308682e-1,4.386640708749926e0,1.591118460631265e1,6.565300833551058e0,4.126217497939357e-1,5.983443748158315e0,8.768159979511951e-1,1.465403595080302e-1,5.732701797540151e-1,1.347238373612183e-2,4.132574365098631e-1,8.371237036897128e-11
7.000000000000000e-1,4.520937029810796e-1,2.673447631866731e0,1.021943581375723e-1,4.454004888689937e-1,3.221042478873297e0,2.125852784860165e0,6.599890559666810e-1,5.983443748468251e0,-3.818998233503297e0,-6.382609069369044e-1,1.808695465315478e-1,1.344903307477788e-2,8.056814203936743e-1,1.355113798950924e-10
8.000000000000000e-1,3.798342389248681e-1,9.908066369920162e-1,7.213702452981689e-2,6.767855679703979e0,7.830799341225813e0,-5.849186067241780e0,-7.469462327362054e-1,5.983443748672384e0,-8.200922453545711e-2,-1.370602415267186e-2,4.931469879236641e-1,1.085618564822202e-2,4.959968264281139e-1,1.696276452634038e-10
9.000000000000000e-1,6.796543917673397e-1,8.766014342002689e0,2.309650461243162e-1,1.362498197637044e1,2.262196136449745e1,-5.089932680492071e0,-2.249996186661397e-1,5.983443748421942e0,4.043479126705144e0,6.757779126396166e-1,8.378889563198083e-1,7.796419931416022e-3,1.543146237487756e-1,1.277717931458255e-10
